model,memory,gpu,n_gpus,batch_size,policy,prefetch_depth,prefetch_width,trace_source,label,feasible,hbm_slots,total_slots,resident_frac,hit_rate,expert_hit_rate,prefetch_coverage,bytes_per_token,bytes_per_batch,compute_s,stall_s,overhead,throughput_tok_s,baseline_tok_s,slowdown,n_batches
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,0,0.0,synthetic,balanced_static,True,921,44611,0.8994140625,0.9613584280014038,0.8994140625,0.0,632832.0,1296039936.0,0.26681778631571285,0.5420443099231733,2.031514905388646,81022.46390915672,245620.8070119222,3.031514905388646,32
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,1,0.05,synthetic,balanced_static,True,921,44611,0.8994140625,0.9613584280014038,0.8994140625,0.3106796116504854,632832.0,1296039936.0,0.26681778631571285,0.29395053515394265,1.1016901804519317,116868.22791316736,245620.8070119222,2.101690180451932,32
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,1,0.1,synthetic,balanced_static,True,921,44611,0.8994140625,0.9613584280014038,0.8994140625,0.3106796116504854,632832.0,1296039936.0,0.26681778631571285,0.29395053515394265,1.1016901804519317,116868.22791316736,245620.8070119222,2.101690180451932,32
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,1,0.25,synthetic,balanced_static,True,921,44611,0.8994140625,0.9613584280014038,0.8994140625,0.3106796116504854,632832.0,1296039936.0,0.26681778631571285,0.29395053515394265,1.1016901804519317,116868.22791316736,245620.8070119222,2.101690180451932,32
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,2,0.05,synthetic,balanced_static,True,921,44611,0.8994140625,0.9613584280014038,0.8994140625,0.46601941747572817,632832.0,1296039936.0,0.26681778631571285,0.1699036477693272,0.6367778179835742,150063.62153325998,245620.8070119222,1.6367778179835744,32
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,2,0.1,synthetic,balanced_static,True,921,44611,0.8994140625,0.9613584280014038,0.8994140625,0.6213592233009708,632832.0,1296039936.0,0.26681778631571285,0.05096246092310179,0.19100098845284746,206230.565208004,245620.8070119222,1.1910009884528476,32
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,2,0.25,synthetic,balanced_static,True,921,44611,0.8994140625,0.9613584280014038,0.8994140625,0.6213592233009708,632832.0,1296039936.0,0.26681778631571285,0.05096246092310179,0.19100098845284746,206230.565208004,245620.8070119222,1.1910009884528476,32
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,4,0.05,synthetic,balanced_static,True,921,44611,0.8994140625,0.9613584280014038,0.8994140625,0.46601941747572817,632832.0,1296039936.0,0.26681778631571285,0.1699036477693272,0.6367778179835742,150063.62153325998,245620.8070119222,1.6367778179835744,32
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,4,0.1,synthetic,balanced_static,True,921,44611,0.8994140625,0.9613584280014038,0.8994140625,0.9320388349514563,632832.0,1296039936.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,32
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,4,0.25,synthetic,balanced_static,True,921,44611,0.8994140625,0.9613584280014038,0.8994140625,1.0,632832.0,1296039936.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,32
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,8,0.05,synthetic,balanced_static,True,921,44611,0.8994140625,0.9613584280014038,0.8994140625,0.46601941747572817,632832.0,1296039936.0,0.26681778631571285,0.1699036477693272,0.6367778179835742,150063.62153325998,245620.8070119222,1.6367778179835744,32
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,8,0.1,synthetic,balanced_static,True,921,44611,0.8994140625,0.9613584280014038,0.8994140625,0.9320388349514563,632832.0,1296039936.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,32
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,8,0.25,synthetic,balanced_static,True,921,44611,0.8994140625,0.9613584280014038,0.8994140625,1.0,632832.0,1296039936.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,32
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,16,0.05,synthetic,balanced_static,True,921,44611,0.8994140625,0.9613584280014038,0.8994140625,0.46601941747572817,632832.0,1296039936.0,0.26681778631571285,0.1699036477693272,0.6367778179835742,150063.62153325998,245620.8070119222,1.6367778179835744,32
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,16,0.1,synthetic,balanced_static,True,921,44611,0.8994140625,0.9613584280014038,0.8994140625,0.9320388349514563,632832.0,1296039936.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,32
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,16,0.25,synthetic,balanced_static,True,921,44611,0.8994140625,0.9613584280014038,0.8994140625,1.0,632832.0,1296039936.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,32
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,0,0.0,synthetic,balanced_static,True,10828,25391,0.8999335106382979,0.9666015138017371,0.8999335106382979,0.0,22192128.0,45449478144.0,2.3513317419072193,11.717433192360867,4.983317744376039,2329.1312459265796,13935.932312733175,5.983317744376039,16
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,1,0.05,synthetic,balanced_static,True,10828,25391,0.8999335106382979,0.9666015138017371,0.8999335106382979,0.15614617940199335,22192128.0,45449478144.0,2.3513317419072193,9.532911602207022,4.054260584461238,2757.2643079736827,13935.932312733175,5.054260584461238,16
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,1,0.1,synthetic,balanced_static,True,10828,25391,0.8999335106382979,0.9666015138017371,0.8999335106382979,0.15614617940199335,22192128.0,45449478144.0,2.3513317419072193,9.532911602207022,4.054260584461238,2757.2643079736827,13935.932312733175,5.054260584461238,16
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,1,0.25,synthetic,balanced_static,True,10828,25391,0.8999335106382979,0.9666015138017371,0.8999335106382979,0.15614617940199335,22192128.0,45449478144.0,2.3513317419072193,9.532911602207022,4.054260584461238,2757.2643079736827,13935.932312733175,5.054260584461238,16
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,2,0.05,synthetic,balanced_static,True,10828,25391,0.8999335106382979,0.9666015138017371,0.8999335106382979,0.3122923588039867,22192128.0,45449478144.0,2.3513317419072193,7.348390012053175,3.1252034245464344,3378.2412352829438,13935.932312733175,4.125203424546434,16
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,2,0.1,synthetic,balanced_static,True,10828,25391,0.8999335106382979,0.9666015138017371,0.8999335106382979,0.3122923588039867,22192128.0,45449478144.0,2.3513317419072193,7.348390012053175,3.1252034245464344,3378.2412352829438,13935.932312733175,4.125203424546434,16
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,2,0.25,synthetic,balanced_static,True,10828,25391,0.8999335106382979,0.9666015138017371,0.8999335106382979,0.3122923588039867,22192128.0,45449478144.0,2.3513317419072193,7.348390012053175,3.1252034245464344,3378.2412352829438,13935.932312733175,4.125203424546434,16
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,4,0.05,synthetic,balanced_static,True,10828,25391,0.8999335106382979,0.9666015138017371,0.8999335106382979,0.4684385382059801,22192128.0,45449478144.0,2.3513317419072193,5.163868421899329,2.1961462646316323,4360.229838961811,13935.932312733175,3.1961462646316323,16
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,4,0.1,synthetic,balanced_static,True,10828,25391,0.8999335106382979,0.9666015138017371,0.8999335106382979,0.6245847176079734,22192128.0,45449478144.0,2.3513317419072193,2.9793468317454836,1.2670891047168302,6147.059806223998,13935.932312733175,2.2670891047168302,16
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,4,0.25,synthetic,balanced_static,True,10828,25391,0.8999335106382979,0.9666015138017371,0.8999335106382979,0.6245847176079734,22192128.0,45449478144.0,2.3513317419072193,2.9793468317454836,1.2670891047168302,6147.059806223998,13935.932312733175,2.2670891047168302,16
