model,memory,gpu,n_gpus,batch_size,policy,prefetch_depth,prefetch_width,trace_source,label,feasible,hbm_slots,total_slots,resident_frac,hit_rate,expert_hit_rate,prefetch_coverage,bytes_per_token,bytes_per_batch,compute_s,stall_s,overhead,throughput_tok_s,baseline_tok_s,slowdown,n_batches,target_resident_frac,critical_batch
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,16,balanced_static,0,0.0,synthetic,balanced_static,True,512,44202,0.5,0.7343024015426636,0.5619852161122851,0.0,246143424.0,3938294784.0,0.26681778631571285,310.4051248368879,1163.3599435893686,210.94920721400612,245620.8070119222,1164.3599435893686,4096,0.5,266582.53616304614
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,64,balanced_static,0,0.0,synthetic,balanced_static,True,512,44202,0.5,0.7343024015426636,0.505522823708795,0.0,96635904.0,6184697856.0,0.26681778631571285,121.74604182304178,456.2890784161797,537.1237114663434,245620.8070119222,457.2890784161798,1024,0.5,300946.41683200106
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,256,balanced_static,0,0.0,synthetic,balanced_static,True,512,44202,0.5,0.7343024015426636,0.5000057221113828,0.0,25165248.0,6442303488.0,0.26681778631571285,31.559351391964846,118.28053829448297,2059.185936984347,245620.8070119222,119.28053829448298,256,0.5,304304.2097426723
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,1024,balanced_static,0,0.0,synthetic,balanced_static,True,512,44202,0.5,0.7343024015426636,0.5,0.0,6291456.0,6442450944.0,0.26681778631571285,7.7430758513494595,29.0200887964322,8181.881428715611,245620.8070119222,30.0200887964322,64,0.5,304307.6923076923
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,4096,balanced_static,0,0.0,synthetic,balanced_static,True,512,44202,0.5,0.7343024015426636,0.5,0.0,1572864.0,6442450944.0,0.26681778631571285,1.788825256887921,6.704295397951053,31881.021472417156,245620.8070119222,7.704295397951054,16,0.5,304307.6923076923
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,16384,balanced_static,0,0.0,synthetic,balanced_static,True,512,44202,0.5,0.7343024015426636,0.5,0.0,393216.0,6442450944.0,0.26681778631571285,0.30026260827253637,1.1253470483307655,115567.38802015006,245620.8070119222,2.1253470483307657,4,0.5,304307.6923076923
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,16,balanced_static,0,0.0,synthetic,balanced_static,True,768,44458,0.75,0.8895716667175293,0.7975861297271626,0.0,113746944.0,1819951104.0,0.26681778631571285,143.29652455680957,537.0576172431532,456.49536246770356,245620.8070119222,538.0576172431533,4096,0.75,123192.19550759152
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,64,balanced_static,0,0.0,synthetic,balanced_static,True,768,44458,0.75,0.8895716667175293,0.7553982985989329,0.0,47802624.0,3059367936.0,0.26681778631571285,60.08335279680956,225.18496096701654,1085.9289935184502,245620.8070119222,226.18496096701654,1024,0.75,148868.3585757879
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,256,balanced_static,0,0.0,synthetic,balanced_static,True,768,44458,0.75,0.8895716667175293,0.7500047684261524,0.0,12582528.0,3221127168.0,0.26681778631571285,15.640163484194174,58.61739466531631,4119.952044043571,245620.8070119222,59.61739466531631,256,0.75,152150.94401632942
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,1024,balanced_static,0,0.0,synthetic,balanced_static,True,768,44458,0.75,0.8895716667175293,0.75,0.0,3145728.0,3221225472.0,0.26681778631571285,3.732146853424942,13.987623932269903,16388.241933604648,245620.8070119222,14.987623932269903,64,0.75,152153.84615384616
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,4096,balanced_static,0,0.0,synthetic,balanced_static,True,768,44458,0.75,0.8895716667175293,0.75,0.0,786432.0,3221225472.0,0.26681778631571285,0.7550215561941729,2.829727233029329,64135.32663464264,245620.8070119222,3.8297272330293293,16,0.75,152153.84615384616
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,16384,balanced_static,0,0.0,synthetic,balanced_static,True,768,44458,0.75,0.8895716667175293,0.75,0.0,196608.0,3221225472.0,0.26681778631571285,0.01074023188648052,0.040253058219185255,236116.39982332927,245620.8070119222,1.0402530582191856,4,0.75,152153.84615384616
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,16,balanced_static,0,0.0,synthetic,balanced_static,True,922,44612,0.900390625,0.9618061780929565,0.9250254968250687,0.0,42132096.0,674113536.0,0.26681778631571285,52.91104373370169,198.30403536552305,1232.3925431888738,245620.8070119222,199.30403536552305,4096,0.9,45630.63608615816
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,64,balanced_static,0,0.0,synthetic,balanced_static,True,922,44612,0.900390625,0.9618061780929565,0.9038224050882876,0.0,18796032.0,1202946048.0,0.26681778631571285,23.461525519158002,87.93089037698968,2761.929021183792,245620.8070119222,88.93089037698968,1024,0.9,58535.16391857451
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,256,balanced_static,0,0.0,synthetic,balanced_static,True,922,44612,0.900390625,0.9618061780929565,0.9003932997890448,0.0,5013312.0,1283407872.0,0.26681778631571285,6.069521982234923,22.74781627583532,10342.879705611274,245620.8070119222,23.747816275835316,256,0.9,60622.1701591598
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,1024,balanced_static,0,0.0,synthetic,balanced_static,True,922,44612,0.900390625,0.9618061780929565,0.900390625,0.0,1253376.0,1283457024.0,0.26681778631571285,1.324970818850307,4.965826443378598,41171.296105091,245620.8070119222,5.965826443378599,64,0.9,60623.79807692308
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,4096,balanced_static,0,0.0,synthetic,balanced_static,True,922,44612,0.900390625,0.9618061780929565,0.900390625,0.0,313344.0,1283457024.0,0.26681778631571285,0.13877245823492257,0.5201019772749321,161581.7956188989,245620.8070119222,1.5201019772749322,16,0.9,60623.79807692308
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,16384,balanced_static,0,0.0,synthetic,balanced_static,True,922,44612,0.900390625,0.9618061780929565,0.900390625,0.0,78336.0,1283457024.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,4,0.9,60623.79807692308
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,16,balanced_static,0,0.0,synthetic,balanced_static,True,973,44663,0.9501953125,0.9821962118148804,0.9639002540286692,0.0,20286336.0,324581376.0,0.26681778631571285,25.365765202258867,95.06774474264155,2556.7458429457497,245620.8070119222,96.06774474264157,4096,0.95,21970.860778859183
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,64,balanced_static,0,0.0,synthetic,balanced_static,True,973,44663,0.9501953125,0.9821962118148804,0.9523307072535017,0.0,9316032.0,596226048.0,0.26681778631571285,11.49363709874688,43.07672759546473,5572.573564585482,245620.8070119222,44.07672759546474,1024,0.95,29012.26493925345
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,256,balanced_static,0,0.0,synthetic,balanced_static,True,973,44663,0.9501953125,0.9821962118148804,0.9501947425240614,0.0,2506752.0,641728512.0,0.26681778631571285,2.9011282093435664,10.873069031128228,20687.221338304837,245620.8070119222,11.873069031128228,256,0.95,30312.245934586605
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,1024,balanced_static,0,0.0,synthetic,balanced_static,True,973,44663,0.9501953125,0.9821962118148804,0.9501953125,0.0,626688.0,641728512.0,0.26681778631571285,0.5287314881127976,1.9816200989208967,82378.3040303548,245620.8070119222,2.9816200989208967,64,0.95,30311.89903846154
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,4096,balanced_static,0,0.0,synthetic,balanced_static,True,973,44663,0.9501953125,0.9821962118148804,0.9501953125,0.0,156672.0,641728512.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,16,0.95,30311.89903846154
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,16384,balanced_static,0,0.0,synthetic,balanced_static,True,973,44663,0.9501953125,0.9821962118148804,0.9501953125,0.0,39168.0,641728512.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,4,0.95,30311.89903846154
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,16,balanced_static,0,0.0,synthetic,balanced_static,True,1014,44704,0.990234375,0.9967248439788818,0.9931588217306407,0.0,3844416.0,61510656.0,0.26681778631571285,4.770507860444521,17.879272316575648,13010.07808422106,245620.8070119222,18.879272316575648,4096,0.99,4163.646343628498
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,64,balanced_static,0,0.0,synthetic,balanced_static,True,1014,44704,0.990234375,0.9967248439788818,0.9907404405487161,0.0,1809600.0,115814400.0,0.26681778631571285,2.130865544633691,7.986220012006017,27333.050680237204,245620.8070119222,8.986220012006015,1024,0.99,5635.510336812154
